head,text,date,comm_num
Казахстан вошел в топ-5 туристических направлений у россиян,"
Опубликованы данные по выездам россиян за рубеж в 2019 году, сообщает zakon.kz со ссылкой на погранслужбу ФСБ России. Всего было совершено 48 072 285 поездок в 176 зарубежных стран россиянами (не считая Беларуси, которая не фигурирует в пограничной статистике). Больше всего поездок гражданами России было совершено в Турцию - 6 999 528. Далее следует Абхазия - 4 802 475. И замыкает тройку Финляндия - 3 962 865. Казахстан расположился на четвертом месте 3 417 996. Топ-10 популярных направлений у россиян выглядит следующим образом. 1. Турция - 6 991 528 поездок. 2. Абхазия - 4 802 475. 3. Финляндия - 3 962 865. 4. Казахстан - 3 417 996. 5. Китай - 2 606 719. 6. Украина - 2 577 871. 7. Эстония - 1 890 452. 8. Германия - 1 426 262. 9. Италия - 1 361 946. 10. Таиланд - 1 231 441.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-20:55,0
Президент Казахстана встретился с премьер-министром Канады,"
Глава государства Касым-Жомарт Токаев провел встречу с Премьер-министром Канады Джастином Трюдо, сообщает zakon.kz.со ссылкой на Акорду. Серию двусторонних встреч Касым-Жомарта Токаева на полях 56-й Мюнхенской конференции по безопасности открыли переговоры с Премьер-министром Канады Джастином Трюдо.  Стороны обсудили текущее состояние и перспективы казахстанско-канадского сотрудничества в торгово-экономическом, инвестиционном и культурно-гуманитарном направлениях, рассмотрели взаимодействие по линии международных организаций, а также обменялись мнениями по актуальным вопросам международной повестки дня.  Приветствуя Джастина Трюдо, Касым-Жомарт Токаев отметил важность дальнейшего развития двусторонних отношений в сферах экономики, привлечения инвестиций, сельского хозяйства и технологий.  — У нас тесные отношения с Канадой. Мы высоко ценим нынешний уровень нашего сотрудничества. Надеюсь на дальнейшее расширение спектра взаимодействия между нашими странами, — сказал Президент Казахстана.  Положительно оценив деятельность канадской урановой компании ""Cameco"" в Казахстане, Глава государства подтвердил готовность продолжить оказывать все необходимые условия для канадского бизнеса. Выразив благодарность за возможность встречи, Джастин Трюдо отметил многолетнюю дружбу и партнерство между двумя государствами.  — У наших стран много общего в экономическом сотрудничестве. Мы успешно взаимодействуем по ряду проектов в сфере энергетики. Надеюсь на дальнейшее укрепление нашей кооперации, — отметил Премьер-министр Канады.  Глава правительства Канады высоко оценил усилия Президента Казахстана по осуществлению политических и экономических реформ и выразил готовность оказать поддержку в сфере развития гражданского общества и демократии.  В завершение встречи Касым-Жомарт Токаев и Джастин Трюдо пригласили друг друга совершить взаимные визиты.  Глава государства Касым-Жомарт Токаев прибыл с 2-х дневным рабочим визитом в Мюнхен для участия в 56-й конференции по безопасности (МКБ). 
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-20:41,0
"Водитель, сбивший девочку насмерть, расплакался в суде и попросил не лишать его свободы","
Сбивший девочку водитель попросил прощения у родственников и заявил, что построит для нее могилу, сообщает zakon.kz со ссылкой на портал ""Мой ГОРОД"". Сегодня, 14 февраля, в городском суде состоялись прения сторон по факту аварии, в которой погибла десятилетняя Айару. По словам прокурора, тормоза и рулевое управление авто в момент ДТП были в исправном состоянии. – Валерий Петрунин, будучи лишенным прав управления авто, сел за руль и совершил наезд на 10-летнюю Айару Ермек, которая переходила дорогу по пешеходному переходу. Вследствие аварии девочка скончалась на месте ДТП. Кроме этого, желая избежать наказания, Петрунин скрылся с места аварии. В итоге родители лишились дочери. Прошу суд признать Валерия Петрунина виновным в совершении преступления, предусмотренного статьями 345 УК РК ""Нарушение правил дорожного движения или эксплуатации транспортных средств лицами, управляющими транспортными средствами"", 347 ""Оставление места дорожно-транспортного происшествия"" УК РК и назначить ему наказание в виде лишения свободы сроком на 2 года и 6 месяцев с отбыванием наказания в учреждении уголовно-исправительной системы минимальной безопасности, - заявил прокурор. Ранее отец погибшей девочки Асылхан Казиев простил виновника ДТП и отметил, что полностью доверяет суду. – Мою дочь уже не вернуть. Он попросил прощения, и я его простил. Претензий к нему не имею. У него двое маленьких детей, и я не хотел бы, чтобы они лишились отца, - рассказал Асылхан Казиев. Валерий Петрунин расплакался во время последнего слова. Он полностью признал свою вину и попросил суд не лишать его свободы. – Я искренне раскаиваюсь в том, что совершил, я не хотел этого делать. Эти три секунды навсегда изменили мою жизнь. Прошу прощения у родственников погибшей девочки и приношу свои искренние соболезнования. Я прошу суд не лишать меня свободы. У меня двое маленьких детей, жена без работы, у нее лейкемия. Ей нужны лекарства, постоянный уход, у нее пропало молоко, не может кормить новорожденного ребенка. Очень прошу суд дать мне последний шанс. Я обещаю помогать семье Айару и построю для нее надгробие, - сказал Валерий Петрунин. ДТП произошло 20 ноября прошлого года возле д. 5 по ул. Нұр в мкр. Байтерек. На месте происшествия были найдены осколки бокового зеркала и решетки радиатора. Водитель скрылся с места ДТП.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-20:38,2
Медицинские маски пытались незаконно перевезти из Казахстана в Китай,"
Контрабандный груз был задержан в поезде, направлявшимся в Китай из Казахстана, сообщили zakon.kz в погранслужбе РК. Контрабанду пресекли 14 февраля. В черных запакованных пакетах находилось 20 000 медицинских масок. Контрабанда была обнаружена служащими железнодорожного пограничного контроля ""Алтын кол"". Из-за эпидемии коронавируса в Китае сложился дефицит медицинских масок. Отметим, что Казахстан не вводил запрет на вывоз медицинских масок.      
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-20:26,0
Почти все трассы из Нур-Султана закрыты,"
Все трассы из столицы, кроме направления Нур-Султан–Кабанбай батыр, для автотранспорта закрыты, сообщает zakon.kz со ссылкой на официальный сайт акимата. Департамент по чрезвычайным ситуациям рекомендует жителям и гостям столицы воздержаться от поездок за пределы города, проявить осторожность и следить за информацией об изменениях погодных условий и введенных ограничениях. На 14 февраля по данным Казгидромета в столице переменная облачность, во второй половине дня снег. Ветер юго-западный, южный 9-14 м/с. Температура ночью 16-18, днем 6-8 мороза. Спасатели предупреждают, что метель лучше всего переждать в здании. Если вы в дороге, то двигаться необходимо только по шоссе. При выходе из машины нельзя отходить от нее за пределы видимости. В случае неисправности или при очень плохой видимости рекомендуется остановиться на обочине дорог, подать сигнал тревоги прерывистыми гудками, поднять капот или повесить яркую ткань на антенну и ждать помощь в автомобиле. В случае возникновения чрезвычайной ситуации звоните по телефону ""112""!
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-19:58,0
Лукашенко поведал о желании России присоединить Беларусь,"
Президент Беларуси Александр Лукашенко заявил, что Россия намекает на присоединение Беларуси в обмен на единые цены на энергоносители, сообщает zakon.kz со ссылкой на БЕЛТА. - Ничего лишнего не требуем, но нам говорят: мы разные страны - намек на то, что надо, чтобы были одной страной. А как можно иметь одну страну с Россией? Вы, наверное, слышите: ""Давайте включим Беларусь в состав России"", - заявил Лукашенко. Глава страны уверен, что и его сограждане не стремятся видеть Беларусь в составе РФ. - Вот вы не антироссийские люди, а нормальные белорусы, любящие, уважающие россиян. Но поставь перед вами вопрос, хотите ли вы такого объединения, чтобы Беларусь вошла в состав России, - 120% скажут ""нет. И самое удивительное, что и россияне мне пишут письма: ""Ни в коем случае не входите в состав России"". Но кому-то там хочется, чтобы была одна страна, - тогда будут единые цены, - поведал лидер Беларуси. Также Лукашенко прокомментировал теорию о том, что глава РФ Владимир Путин хочет присоединить Беларусь чтобы возглавить новое государство, тем самым обойдя ограничения на президентские сроки. - Нет у Путина такой цели. А если и была, то мы два года назад условились: никакого вхождения Беларуси в Россию быть не может. Но я пошутил (в каждой шутке есть доля шутки): единое государство возможно - если Россия вступит в состав Беларуси, если белорусский президент станет президентом этого объединенного государства. Не обязательно Лукашенко. Может, ваш руководитель. А лучше всего Наталья Ивановна Кочанова - первая женщина, но надежная будет. Почему мы можем туда вступить, а они нет? И если бы россиянам мы эту альтернативу предложили, они бы могли и не отказаться, - заключил Лукашенко. Ранее глава республики отказывался стоять на коленях ради российской нефти.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-19:54,3
Родом из детства,"
Буллинг. Или новое название старой проблемы. Что это? Кто еще не знал, объясним, это травля в подростковой среде. Наверное, каждый, кто прошел школьный период, не раз был свидетелем подобного поведения сверстников. Смешные (на чей-то взгляд) фамилия или имя, торчащие уши или еще какая-либо особенность тела, возможно даже необычное хобби, вполне могут стать причиной для насмешек или травли ребенка. Несовершеннолетние, со свойственной им жестокостью (в силу возраста и недопонимания последствий) могут превратить в ад жизнь подростка. Вот что такое буллинг. - Вопрос в том, что пережить это трудно. Поэтому я знаю, что такое буллинг, - рассказывает свои воспоминания из детства президент общественного фонда ОФ ""Ұлағатты жанұя"" Марианна Гурина.  Последствия же подобных действий потом могут отражаться в полицейских сводках. В лучшем случае в форме побегов из семьи или учебного заведения, в худшем - в виде суицидов или, напротив, массовых убийств. Вывод очевиден, буллинг — это не потенциальная, а явная опасность. В учебных заведениях с такой психически нездоровой обстановкой высока вероятность трагедии. Что же делают сейчас преподаватели и администрации школ? Как показывает практика, что их реакция на подобные случаи, порой, не менее опасна, чем сам буллинг. - Я пыталась сначала жаловаться учителям. Но они просто не реагировали. Говорили, ты должна сама с этим как то разобраться, - говорит тринадцатилетняя ученица 7 класса одной из алматинских школ по имени Вика.   Драки, поножовщины, оскорбления, байкоты. И все это наши дети. Могут ли что-то изменить взрослые? И насколько они настойчивы в этом? Выясняли корреспонденты ""Первого канала ""Евразия"". Смотрите в программе ""Аналитика"" в это воскресенье, 14 февраля в 20:00. 
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-19:33,0
Токаев заявил о необходимости строить ветряные электростанции в Казахстане,"
Программа рабочего визита президента Казахстана Касым-Жомарта Токаева в Мюнхен началась с двусторонних встреч с руководителями крупных германских компаний – председателем правления компании ""BayWa AG"" Клаусом Лутцем, членом правления компании ""Rhenus SE&Co.KG"" Михаэлем Виферсом и председателем правления компании ""Reverse Logistics Systems GmbH"" Патриком Видеманном, передает zakon.kz со ссылкой на Акорду. В ходе встречи с руководителем одной из крупнейших сельскохозяйственных компаний Германии Клаусом Лутцем были обсуждены перспективы реализации совместных инвестиционных проектов в сфере возобновляемых источников энергии и цифровизации агропромышленного комплекса.  Отметив, что Казахстан уделяет приоритетное значение развитию тесного и плодотворного сотрудничества с германским бизнесом, Глава государства обратил внимание собеседника на приоритетность развития потенциала возобновляемых источников энергии и производства удобрений в нашей стране.  — Нам нужно строить больше ветровых и солнечных электростанций в Казахстане, но имеется нехватка соответствующей инфраструктуры. Поэтому мы весьма заинтересованы в установлении тесного партнерства с вашей компанией, — сказал президент.  Во время беседы с Михаэлем Виферсом были рассмотрены перспективы сотрудничества в реализации совместных инфраструктурных проектов в транспортно-логистической сфере.  Немецкий бизнесмен проинформировал Токаева о деятельности компании в Казахстане, которая имеет два представительства в Нур-Султане и Алматы, и об открытии третьего представительства в Караганде. Компания выразила заинтересованность в приобретении и запуске нового консолидированного транспортно-логистического терминала на территории нашей страны. Темой обсуждения встречи Главы государства с Патриком Видеманном стали перспективы реализации в Казахстане проекта по залогово-возвратной системе обращения тары.  Глава ""Reverse Logistics Systems GmbH"" выразил готовность сотрудничать с Казахстаном по созданию соответствующей экосистемы в сфере повторной переработки материалов и отходов.  Президент высоко оценил деятельность и уникальные разработки компании, в частности, внедрение идентификатора, наносимого на каждую единицу упаковки, для дальнейшего обращения тары.  В целом, в рамках состоявшихся встреч Касым-Жомарт Токаев подтвердил заинтересованность нашей страны в диверсификации иностранных инвестиций, в особенности из Германии. Он заверил представителей бизнес-кругов в полной поддержке и готовности государства создать необходимые условия для осуществления совместных проектов.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-19:25,1
Генпрокуратура отреагировала на информацию об утечке данных казахстанцев,"
Ранее информацию об утечке опубликовал центр анализа и расследования кибератак. Комитет по правовой статистике и специальным учетам Генпрокуратуры провел соответствующую проверку, сообщает zakon.kz. Установлено, что данные по административным правонарушениям не доступны в сети Интернет в открытом виде. Без специальной идентификации вход в систему невозможен. - Вместе с тем совместно с ЦАРКА выявлены отдельные риски, которые не влияют на уязвимость систем и не несут опасности для защиты хранящихся сведений. В настоящее время они устранены, - говорится в сообщении Генпрокуратуры. В целом, Комитетом при создании информационных систем уделяется особое внимание сохранности персональных данных. В этих целях ведомство сотрудничает с различными компетентными организациями. В частности, в 2018 году согласно заключенному Меморандуму с ЦАРКА проверены информационные системы Комитета на возможность утечки и рисков незаконного доступа. При этом угрозы не были выявлены.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-19:24,2
Казахстанская теннисистка вышла в полуфинал WTA Premier,"
Первая ракетка Казахстана Елена Рыбакина вышла в полуфинал турнира в Санкт-Петербурге. В игре 1/4 финала она обыграла победительницу квалификации Осеан Доден из Франции, сообщает zakon.kz со ссылкой на Vesti.kz. В игре, длившейся два часа и 27 минут, Елена обыграла француженку со счетом 6:7 (5:7), 7:5, 6:2. Игра была напряженной - первый сет Рыбакина проиграла. Ведя со счетом 5:2, она не смогла смогла дожать соперницу и проиграла на тай-брейке 5:7. И во втором сете она была в шаге от поражения. Отыграв два матчбола, выиграла в итоге 7:5. В третьей партии Рыбакина была уже неудержима и победила со счетом 6:2. Соперница Рыбакиной определится в матче первой ракетки турнира швейцарки Белинды Бенчич и гречанки Марии Саккари.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-19:16,0
